Site,X,Y
X10orgedge,688317.27,5264454.2293
X10orgint,688362.5793,5264550.9795
X11convedge,688197.8354,5264845.2371
X11convint,688194.9842,5264933.8187
X15softedge,693406.5106,5265511.1799
X15softint,693432.9736,5265448.5248
X16convedge,693350.4872,5265325.944
X16convint,693277.1849,5265373.2857
X17softedge,690754.5287,5264738.4941
X17softint,690773.2675,5264823.8105
X18softedge,690383.5268,5263749.9103
X18softint,690350.5218,5263871.1284
X19orgedge,680985.2545,5269001.1139
X19orgint,681012.4556,5269048.5407
X20convedge,680817.2921,5269231.2598
X20convint,680850.5447,5269291.578
X21orgedge,680331.866,5269112.516
X21orgint,680334.8811,5269063.9388
X22softedge,693603.3677,5260614.9714
X22softint,693585.3518,5260682.1413
X23convedge,693709.4759,5260882.4557
X23convint,693777.3786,5260783.0543
X24softedge,688789.8775,5264572.3201
X24softint,688785.0303,5264633.5736
X25ogredge,677838.1865,5273316.411
X25orgint,677810.4581,5273344.9442
X8orgedge,690599.9491,5263485.2388
X8orgint,690653.4776,5263411.543
X9convEdge,690543.4512,5264026.7933
X9convInt,690464.0484,5264019.4423
